patient	cancer	response	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5	1	2	3	4	5
SCC.15	aero_digestive_tract	3.365135	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
CAL.27	aero_digestive_tract	1.765846	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
DOK	aero_digestive_tract	3.213778	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
TE.9	aero_digestive_tract	2.731467	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
TE.11	aero_digestive_tract	3.330281	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
TE.6	aero_digestive_tract	4.047762	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train
TE.12	aero_digestive_tract	2.167806	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HO.1.N.1	aero_digestive_tract	3.674127	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
A253	aero_digestive_tract	3.336149	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
COLO.680N	aero_digestive_tract	3.982318	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
FADU	aero_digestive_tract	4.9595	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HN	aero_digestive_tract	3.584438	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HSC.3	aero_digestive_tract	3.087901	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
HSC.4	aero_digestive_tract	0.458272	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KYSE.150	aero_digestive_tract	6.019019	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train
KYSE.270	aero_digestive_tract	2.397199	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
KYSE.450	aero_digestive_tract	3.776897	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
KYSE.510	aero_digestive_tract	1.219164	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
RPMI.2650	aero_digestive_tract	4.324789	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
SAS	aero_digestive_tract	2.920069	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
SCC.9	aero_digestive_tract	3.159347	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
OE19	aero_digestive_tract	4.461804	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
OE33	aero_digestive_tract	3.113975	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
TE.5	aero_digestive_tract	5.352655	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train
BB30.HNC	aero_digestive_tract	1.716993	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
BB49.HNC	aero_digestive_tract	3.875242	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
BHY	aero_digestive_tract	3.897088	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
Ca9.22	aero_digestive_tract	2.341027	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
CAL.33	aero_digestive_tract	1.987891	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
EC.GI.10	aero_digestive_tract	2.581289	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
HCE.4	aero_digestive_tract	2.235912	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
HSC.2	aero_digestive_tract	4.857346	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation
SK.MM.2	blood	5.976815	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
U.266	blood	5.033941	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
HL.60	blood	2.388306	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
CCRF.CEM	blood	1.759891	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
ATN.1	blood	3.693115	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
CESS	blood	4.334653	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
CA46	blood	5.768414	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
BALL.1	blood	5.3821	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
BL.41	blood	4.446714	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
BV.173	blood	1.909774	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
RL	blood	6.977647	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
ST486	blood	7.009753	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train	validation	train	train	train	train
